dateid,day,month,year
134,5,9,2020
135,5,9,2020
136,5,9,2020
137,5,9,2020
138,5,9,2020
139,5,9,2020
140,5,9,2020
141,5,9,2020
142,5,9,2020
143,5,9,2020
144,5,9,2020
145,5,9,2020
146,5,9,2020
147,5,9,2020
148,5,9,2020
149,5,9,2020
150,5,9,2020
151,5,9,2020
152,5,9,2020
153,5,9,2020
154,5,9,2020
155,5,9,2020
156,5,9,2020
157,5,9,2020
158,5,9,2020
159,5,9,2020
160,5,9,2020
161,5,9,2020
162,5,9,2020
163,5,9,2020
164,5,9,2020
165,5,9,2020
166,5,9,2020
167,5,9,2020
168,5,9,2020
169,5,9,2020
170,5,9,2020
171,5,9,2020
172,5,9,2020
173,5,9,2020
174,5,9,2020
175,5,9,2020
176,5,9,2020
177,5,9,2020
178,5,9,2020
179,5,9,2020
180,5,9,2020
181,5,9,2020
182,5,9,2020
183,5,9,2020
184,5,9,2020
185,5,9,2020
186,5,9,2020
187,5,9,2020
188,5,9,2020
189,5,9,2020
190,5,9,2020
191,5,9,2020
192,5,9,2020
193,5,9,2020
194,5,9,2020
195,5,9,2020
196,5,9,2020
197,5,9,2020
198,5,9,2020
199,5,9,2020
200,5,9,2020
201,5,9,2020
202,5,9,2020
203,5,9,2020
204,5,9,2020
205,5,9,2020
206,5,9,2020
207,5,9,2020
208,5,9,2020
209,5,9,2020
210,5,9,2020
211,5,9,2020
212,5,9,2020
213,5,9,2020
214,5,9,2020
215,5,9,2020
216,5,9,2020
217,5,9,2020
218,5,9,2020
219,5,9,2020
220,5,9,2020
221,5,9,2020
222,5,9,2020
223,5,9,2020
224,5,9,2020
225,5,9,2020
226,5,9,2020
227,5,9,2020
228,5,9,2020
229,5,9,2020
230,5,9,2020
231,5,9,2020
232,5,9,2020
233,5,9,2020
234,5,9,2020
235,5,9,2020
236,5,9,2020
237,5,9,2020
238,5,9,2020
239,5,9,2020
240,5,9,2020
241,5,9,2020
242,5,9,2020
243,5,9,2020
244,5,9,2020
245,5,9,2020
246,5,9,2020
247,5,9,2020
248,5,9,2020
249,5,9,2020
250,5,9,2020
251,5,9,2020
252,5,9,2020
253,5,9,2020
254,5,9,2020
255,5,9,2020
256,5,9,2020
257,5,9,2020
258,5,9,2020
259,5,9,2020
260,5,9,2020
261,5,9,2020
262,5,9,2020
263,5,9,2020
264,5,9,2020
265,5,9,2020
266,5,9,2020
267,5,9,2020
268,5,9,2020
269,5,9,2020
270,5,9,2020
271,5,9,2020
272,5,9,2020
273,5,9,2020
274,5,9,2020
275,5,9,2020
276,5,9,2020
277,5,9,2020
278,5,9,2020
279,5,9,2020
280,5,9,2020
281,5,9,2020
282,5,9,2020
283,5,9,2020
284,5,9,2020
285,5,9,2020
286,5,9,2020
287,5,9,2020
288,5,9,2020
289,5,9,2020
290,5,9,2020
291,5,9,2020
292,5,9,2020
293,5,9,2020
294,5,9,2020
295,5,9,2020
296,5,9,2020
297,5,9,2020
298,5,9,2020
299,5,9,2020
300,5,9,2020
301,5,9,2020
302,5,9,2020
303,5,9,2020
304,5,9,2020
305,5,9,2020
306,5,9,2020
307,5,9,2020
308,5,9,2020
309,5,9,2020
310,5,9,2020
311,5,9,2020
312,5,9,2020
313,5,9,2020
314,5,9,2020
315,5,9,2020
316,5,9,2020
317,5,9,2020
318,5,9,2020
319,5,9,2020
320,5,9,2020
321,5,9,2020
322,5,9,2020
323,5,9,2020
324,5,9,2020
325,5,9,2020
326,5,9,2020
327,5,9,2020
328,5,9,2020
329,5,9,2020
330,5,9,2020
331,5,9,2020
332,5,9,2020
333,5,9,2020
334,5,9,2020
335,5,9,2020
336,5,9,2020
337,5,9,2020
338,5,9,2020
339,5,9,2020
340,5,9,2020
341,5,9,2020
342,5,9,2020
343,5,9,2020
344,5,9,2020
345,5,9,2020
346,5,9,2020
347,5,9,2020
348,5,9,2020
349,5,9,2020
350,5,9,2020
351,5,9,2020
352,5,9,2020
353,5,9,2020
354,5,9,2020
355,5,9,2020
356,5,9,2020
357,5,9,2020
358,5,9,2020
359,5,9,2020
360,5,9,2020
361,5,9,2020
362,5,9,2020
363,5,9,2020
364,5,9,2020
365,5,9,2020
366,5,9,2020
367,5,9,2020
368,5,9,2020
369,5,9,2020
370,5,9,2020
371,5,9,2020
372,5,9,2020
373,5,9,2020
374,5,9,2020
375,5,9,2020
376,5,9,2020
377,5,9,2020
378,5,9,2020
379,5,9,2020
380,5,9,2020
381,5,9,2020
382,5,9,2020
383,5,9,2020
384,5,9,2020
385,5,9,2020
386,5,9,2020
387,5,9,2020
388,5,9,2020
389,5,9,2020
390,5,9,2020
391,5,9,2020
392,5,9,2020
393,5,9,2020
394,5,9,2020
395,5,9,2020
396,5,9,2020
397,5,9,2020
398,5,9,2020
399,5,9,2020
400,5,9,2020
401,5,9,2020
402,5,9,2020
403,5,9,2020
404,5,9,2020
405,5,9,2020
406,5,9,2020
407,5,9,2020
408,5,9,2020
409,5,9,2020
410,5,9,2020
411,5,9,2020
412,5,9,2020
413,5,9,2020
414,5,9,2020
415,5,9,2020
416,5,9,2020
417,5,9,2020
418,5,9,2020
419,5,9,2020
420,5,9,2020
421,5,9,2020
422,5,9,2020
423,5,9,2020
424,5,9,2020
425,5,9,2020
426,5,9,2020
427,5,9,2020
428,5,9,2020
429,5,9,2020
430,5,9,2020
431,5,9,2020
432,5,9,2020
433,5,9,2020
434,5,9,2020
435,5,9,2020
436,5,9,2020
437,5,9,2020
438,5,9,2020
439,5,9,2020
440,5,9,2020
441,5,9,2020
442,5,9,2020
443,5,9,2020
444,5,9,2020
445,5,9,2020
446,5,9,2020
447,5,9,2020
448,5,9,2020
449,5,9,2020
450,5,9,2020
451,5,9,2020
452,5,9,2020
453,5,9,2020
454,5,9,2020
455,5,9,2020
456,5,9,2020
457,5,9,2020
458,5,9,2020
459,5,9,2020
460,5,9,2020
461,5,9,2020
462,5,9,2020
463,5,9,2020
464,5,9,2020
465,5,9,2020
466,5,9,2020
467,5,9,2020
468,5,9,2020
469,5,9,2020
470,5,9,2020
471,5,9,2020
472,5,9,2020
473,5,9,2020
474,5,9,2020
475,5,9,2020
476,5,9,2020
477,5,9,2020
478,5,9,2020
479,5,9,2020
480,5,9,2020
481,5,9,2020
482,5,9,2020
483,5,9,2020
484,5,9,2020
485,5,9,2020
486,5,9,2020
487,5,9,2020
488,5,9,2020
489,5,9,2020
490,5,9,2020
491,5,9,2020
492,5,9,2020
493,5,9,2020
494,5,9,2020
495,5,9,2020
496,5,9,2020
497,5,9,2020
498,5,9,2020
499,5,9,2020
500,5,9,2020
501,5,9,2020
502,5,9,2020
503,5,9,2020
504,5,9,2020
505,5,9,2020
506,5,9,2020
507,5,9,2020
508,5,9,2020
509,5,9,2020
510,5,9,2020
511,5,9,2020
512,5,9,2020
513,5,9,2020
514,5,9,2020
515,5,9,2020
516,5,9,2020
517,5,9,2020
518,5,9,2020
519,5,9,2020
520,5,9,2020
521,5,9,2020
522,5,9,2020
523,5,9,2020
524,5,9,2020
525,5,9,2020
526,5,9,2020
527,5,9,2020
528,5,9,2020
529,5,9,2020
530,5,9,2020
531,5,9,2020
532,5,9,2020
533,5,9,2020
534,5,9,2020
535,5,9,2020
536,5,9,2020
537,5,9,2020
538,5,9,2020
539,5,9,2020
540,5,9,2020
541,5,9,2020
542,5,9,2020
543,5,9,2020
544,5,9,2020
545,5,9,2020
546,5,9,2020
547,5,9,2020
548,5,9,2020
549,5,9,2020
550,5,9,2020
551,5,9,2020
552,5,9,2020
553,5,9,2020
554,5,9,2020
555,5,9,2020
556,5,9,2020
557,5,9,2020
558,5,9,2020
559,5,9,2020
560,5,9,2020
561,5,9,2020
562,5,9,2020
563,5,9,2020
564,5,9,2020
565,5,9,2020
566,5,9,2020
567,5,9,2020
568,5,9,2020
569,5,9,2020
570,5,9,2020
571,5,9,2020
572,5,9,2020
573,5,9,2020
574,5,9,2020
575,5,9,2020
576,5,9,2020
577,5,9,2020
578,5,9,2020
579,5,9,2020
580,5,9,2020
581,5,9,2020
582,5,9,2020
583,5,9,2020
584,5,9,2020
585,5,9,2020
586,5,9,2020
587,5,9,2020
588,5,9,2020
589,5,9,2020
590,5,9,2020
591,5,9,2020
592,5,9,2020
593,5,9,2020
594,5,9,2020
595,5,9,2020
596,5,9,2020
597,5,9,2020
598,5,9,2020
599,5,9,2020
600,5,9,2020
601,5,9,2020
602,5,9,2020
603,5,9,2020
604,5,9,2020
605,5,9,2020
606,5,9,2020
607,5,9,2020
608,5,9,2020
609,5,9,2020
610,5,9,2020
611,5,9,2020
612,5,9,2020
613,5,9,2020
614,5,9,2020
615,5,9,2020
616,5,9,2020
617,5,9,2020
618,5,9,2020
619,5,9,2020
620,5,9,2020
621,5,9,2020
622,5,9,2020
623,5,9,2020
624,5,9,2020
625,5,9,2020
626,5,9,2020
627,5,9,2020
628,5,9,2020
629,5,9,2020
630,5,9,2020
631,5,9,2020
632,5,9,2020
633,5,9,2020
634,5,9,2020
635,5,9,2020
636,5,9,2020
637,5,9,2020
638,5,9,2020
639,5,9,2020
640,5,9,2020
641,5,9,2020
642,5,9,2020
643,5,9,2020
644,5,9,2020
645,5,9,2020
646,5,9,2020
647,5,9,2020
648,5,9,2020
649,5,9,2020
650,5,9,2020
651,5,9,2020
652,5,9,2020
653,5,9,2020
654,5,9,2020
655,5,9,2020
656,5,9,2020
657,5,9,2020
658,5,9,2020
659,5,9,2020
660,5,9,2020
661,5,9,2020
662,5,9,2020
663,5,9,2020
664,5,9,2020
665,5,9,2020
666,5,9,2020
667,5,9,2020
668,5,9,2020
669,5,9,2020
670,5,9,2020
671,5,9,2020
672,5,9,2020
673,5,9,2020
674,5,9,2020
675,5,9,2020
676,5,9,2020
677,5,9,2020
678,5,9,2020
679,5,9,2020
680,5,9,2020
681,5,9,2020
682,5,9,2020
683,5,9,2020
684,5,9,2020
685,5,9,2020
686,5,9,2020
687,5,9,2020
688,5,9,2020
689,5,9,2020
690,5,9,2020
691,5,9,2020
692,5,9,2020
693,5,9,2020
694,5,9,2020
695,5,9,2020
696,5,9,2020
697,5,9,2020
698,5,9,2020
699,5,9,2020
700,5,9,2020
701,5,9,2020
702,5,9,2020
703,5,9,2020
704,5,9,2020
705,5,9,2020
706,5,9,2020
707,5,9,2020
708,5,9,2020
709,5,9,2020
710,5,9,2020
711,5,9,2020
712,5,9,2020
713,5,9,2020
714,5,9,2020
715,5,9,2020
716,5,9,2020
717,5,9,2020
718,5,9,2020
719,5,9,2020
720,5,9,2020
721,5,9,2020
722,5,9,2020
723,5,9,2020
724,5,9,2020
725,5,9,2020
726,5,9,2020
727,5,9,2020
728,5,9,2020
729,5,9,2020
730,5,9,2020
731,5,9,2020
732,5,9,2020
733,5,9,2020
734,5,9,2020
735,5,9,2020
736,5,9,2020
737,5,9,2020
738,5,9,2020
739,5,9,2020
740,5,9,2020
741,5,9,2020
742,5,9,2020
743,5,9,2020
744,5,9,2020
745,5,9,2020
746,5,9,2020
747,5,9,2020
748,5,9,2020
749,5,9,2020
750,5,9,2020
751,5,9,2020
752,5,9,2020
753,5,9,2020
754,5,9,2020
755,5,9,2020
756,5,9,2020
757,5,9,2020
758,5,9,2020
759,5,9,2020
760,5,9,2020
761,5,9,2020
762,5,9,2020
763,5,9,2020
764,5,9,2020
765,5,9,2020
766,5,9,2020
767,5,9,2020
768,5,9,2020
769,5,9,2020
770,5,9,2020
771,5,9,2020
772,5,9,2020
773,5,9,2020
774,5,9,2020
775,5,9,2020
776,5,9,2020
777,5,9,2020
778,5,9,2020
779,5,9,2020
780,5,9,2020
781,5,9,2020
782,5,9,2020
783,5,9,2020
784,5,9,2020
785,5,9,2020
786,5,9,2020
787,5,9,2020
788,5,9,2020
789,5,9,2020
790,5,9,2020
791,5,9,2020
792,5,9,2020
793,5,9,2020
794,5,9,2020
795,5,9,2020
796,5,9,2020
797,5,9,2020
798,5,9,2020
799,5,9,2020
800,5,9,2020
801,5,9,2020
802,5,9,2020
803,5,9,2020
804,5,9,2020
805,5,9,2020
806,5,9,2020
807,5,9,2020
808,5,9,2020
809,5,9,2020
810,5,9,2020
811,5,9,2020
812,5,9,2020
813,5,9,2020
814,5,9,2020
815,5,9,2020
816,5,9,2020
817,5,9,2020
818,5,9,2020
819,5,9,2020
820,5,9,2020
821,5,9,2020
822,5,9,2020
823,5,9,2020
824,5,9,2020
825,5,9,2020
826,5,9,2020
827,5,9,2020
828,5,9,2020
829,5,9,2020
830,5,9,2020
831,5,9,2020
832,5,9,2020
833,5,9,2020
834,5,9,2020
835,5,9,2020
836,5,9,2020
837,5,9,2020
838,5,9,2020
839,5,9,2020
840,5,9,2020
841,5,9,2020
842,5,9,2020
843,5,9,2020
844,5,9,2020
845,5,9,2020
846,5,9,2020
847,5,9,2020
848,5,9,2020
849,5,9,2020
850,5,9,2020
851,5,9,2020
852,5,9,2020
853,5,9,2020
854,5,9,2020
855,5,9,2020
856,5,9,2020
857,5,9,2020
858,5,9,2020
859,5,9,2020
860,5,9,2020
861,5,9,2020
862,5,9,2020
863,5,9,2020
864,5,9,2020
865,5,9,2020
866,5,9,2020
867,5,9,2020
868,5,9,2020
869,5,9,2020
870,5,9,2020
871,5,9,2020
872,5,9,2020
873,5,9,2020
874,5,9,2020
875,5,9,2020
876,5,9,2020
877,5,9,2020
878,5,9,2020
879,5,9,2020
880,5,9,2020
881,5,9,2020
882,5,9,2020
883,5,9,2020
884,5,9,2020
885,5,9,2020
886,5,9,2020
887,5,9,2020
888,5,9,2020
889,5,9,2020
890,5,9,2020
891,5,9,2020
892,5,9,2020
893,5,9,2020
894,5,9,2020
895,5,9,2020
896,5,9,2020
897,5,9,2020
898,5,9,2020
899,5,9,2020
900,5,9,2020
901,5,9,2020
902,5,9,2020
903,5,9,2020
904,5,9,2020
905,5,9,2020
906,5,9,2020
907,5,9,2020
908,5,9,2020
909,5,9,2020
910,5,9,2020
911,5,9,2020
912,5,9,2020
913,5,9,2020
914,5,9,2020
915,5,9,2020
916,5,9,2020
917,5,9,2020
918,5,9,2020
919,5,9,2020
920,5,9,2020
921,5,9,2020
922,5,9,2020
923,5,9,2020
924,5,9,2020
925,5,9,2020
926,5,9,2020
927,5,9,2020
928,5,9,2020
929,5,9,2020
930,5,9,2020
931,5,9,2020
932,5,9,2020
933,5,9,2020
934,5,9,2020
935,5,9,2020
936,5,9,2020
937,5,9,2020
938,5,9,2020
939,5,9,2020
940,5,9,2020
941,5,9,2020
942,5,9,2020
943,5,9,2020
944,5,9,2020
945,5,9,2020
946,5,9,2020
947,5,9,2020
948,5,9,2020
949,5,9,2020
950,5,9,2020
951,5,9,2020
952,5,9,2020
953,5,9,2020
954,5,9,2020
955,5,9,2020
956,5,9,2020
957,5,9,2020
958,5,9,2020
959,5,9,2020
960,5,9,2020
961,5,9,2020
962,5,9,2020
963,5,9,2020
964,5,9,2020
965,5,9,2020
966,5,9,2020
967,5,9,2020
968,5,9,2020
969,5,9,2020
970,5,9,2020
971,5,9,2020
972,5,9,2020
973,5,9,2020
974,5,9,2020
975,5,9,2020
976,5,9,2020
977,5,9,2020
978,5,9,2020
979,5,9,2020
980,5,9,2020
981,5,9,2020
982,5,9,2020
983,5,9,2020
984,5,9,2020
985,5,9,2020
986,5,9,2020
987,5,9,2020
988,5,9,2020
989,5,9,2020
990,5,9,2020
991,5,9,2020
992,5,9,2020
993,5,9,2020
994,5,9,2020
995,5,9,2020
996,5,9,2020
997,5,9,2020
998,5,9,2020
999,5,9,2020
1000,5,9,2020
1001,5,9,2020
1002,5,9,2020
1003,5,9,2020
1004,5,9,2020
1005,5,9,2020
1006,5,9,2020
1007,5,9,2020
1008,5,9,2020
1009,5,9,2020
1010,5,9,2020
1011,5,9,2020
1012,5,9,2020
1013,5,9,2020
1014,5,9,2020
1015,5,9,2020
1016,5,9,2020
1017,5,9,2020
1018,5,9,2020
1019,5,9,2020
1020,5,9,2020
1021,5,9,2020
1022,5,9,2020
1023,5,9,2020
1024,5,9,2020
1025,5,9,2020
1026,5,9,2020
1027,5,9,2020
1028,5,9,2020
1029,5,9,2020
1030,5,9,2020
1031,5,9,2020
1032,5,9,2020
1033,5,9,2020
1034,5,9,2020
1035,5,9,2020
1036,5,9,2020
1037,5,9,2020
1038,5,9,2020
1039,5,9,2020
1040,5,9,2020
1041,5,9,2020
1042,5,9,2020
1043,5,9,2020
1044,5,9,2020
1045,5,9,2020
1046,5,9,2020
1047,5,9,2020
1048,5,9,2020
1049,5,9,2020
1050,5,9,2020
1051,5,9,2020
1052,5,9,2020
1053,5,9,2020
1054,5,9,2020
1055,5,9,2020
1056,5,9,2020
1057,5,9,2020
1058,5,9,2020
1059,5,9,2020
1060,5,9,2020
1061,5,9,2020
1062,5,9,2020
1063,5,9,2020
1064,5,9,2020
1065,5,9,2020
1066,5,9,2020
1067,5,9,2020
1068,5,9,2020
1069,5,9,2020
1070,5,9,2020
1071,5,9,2020
1072,5,9,2020
1073,5,9,2020
1074,5,9,2020
1075,5,9,2020
1076,5,9,2020
1077,5,9,2020
1078,5,9,2020
1079,5,9,2020
1080,5,9,2020
1081,5,9,2020
1082,5,9,2020
1083,5,9,2020
1084,5,9,2020
1085,5,9,2020
1086,5,9,2020
1087,5,9,2020
1088,5,9,2020
1089,5,9,2020
1090,5,9,2020
1091,5,9,2020
1092,5,9,2020
1093,5,9,2020
1094,5,9,2020
1095,5,9,2020
1096,5,9,2020
1097,5,9,2020
1098,5,9,2020
1099,5,9,2020
1100,5,9,2020
1101,5,9,2020
1102,5,9,2020
1103,5,9,2020
1104,5,9,2020
1105,5,9,2020
1106,5,9,2020
1107,5,9,2020
1108,5,9,2020
1109,5,9,2020
1110,5,9,2020
1111,5,9,2020
1112,5,9,2020
1113,5,9,2020
1114,5,9,2020
1115,5,9,2020
1116,5,9,2020
1117,5,9,2020
1118,5,9,2020
1119,5,9,2020
1120,5,9,2020
1121,5,9,2020
1122,5,9,2020
1123,5,9,2020
1124,5,9,2020
1125,5,9,2020
1126,5,9,2020
1127,5,9,2020
1128,5,9,2020
1129,5,9,2020
1130,5,9,2020
1131,5,9,2020
1132,5,9,2020
1133,5,9,2020
1134,5,9,2020
1135,5,9,2020
1136,5,9,2020
1137,5,9,2020
1138,5,9,2020
1139,5,9,2020
1140,5,9,2020
1141,5,9,2020
1142,5,9,2020
1143,5,9,2020
1144,5,9,2020
1145,5,9,2020
1146,5,9,2020
1147,5,9,2020
1148,5,9,2020
1149,5,9,2020
1150,5,9,2020
1151,5,9,2020
1152,5,9,2020
1153,5,9,2020
1154,5,9,2020
1155,5,9,2020
1156,5,9,2020
1157,5,9,2020
1158,5,9,2020
1159,5,9,2020
1160,5,9,2020
1161,5,9,2020
1162,5,9,2020
1163,5,9,2020
1164,5,9,2020
1165,5,9,2020
1166,5,9,2020
1167,5,9,2020
1168,5,9,2020
1169,5,9,2020
1170,5,9,2020
1171,5,9,2020
1172,5,9,2020
1173,5,9,2020
1174,5,9,2020
1175,5,9,2020
1176,5,9,2020
1177,5,9,2020
1178,5,9,2020
1179,5,9,2020
1180,5,9,2020
1181,5,9,2020
1182,5,9,2020
1183,5,9,2020
1184,5,9,2020
1185,5,9,2020
1186,5,9,2020
1187,5,9,2020
1188,5,9,2020
1189,5,9,2020
1190,5,9,2020
1191,5,9,2020
1192,5,9,2020
1193,5,9,2020
1194,5,9,2020
1195,5,9,2020
1196,5,9,2020
1197,5,9,2020
1198,5,9,2020
1199,5,9,2020
1200,5,9,2020
1201,5,9,2020
1202,5,9,2020
1203,5,9,2020
1204,5,9,2020
1205,5,9,2020
1206,5,9,2020
1207,5,9,2020
1208,5,9,2020
1209,5,9,2020
1210,5,9,2020
1211,5,9,2020
1212,5,9,2020
1213,5,9,2020
1214,5,9,2020
1215,5,9,2020
1216,5,9,2020
1217,5,9,2020
1218,5,9,2020
1219,5,9,2020
1220,5,9,2020
1221,5,9,2020
1222,5,9,2020
1223,5,9,2020
1224,5,9,2020
1225,5,9,2020
1226,5,9,2020
1227,5,9,2020
1228,5,9,2020
1229,5,9,2020
1230,5,9,2020
1231,5,9,2020
1232,5,9,2020
1233,5,9,2020
1234,5,9,2020
1235,5,9,2020
1236,5,9,2020
1237,5,9,2020
1238,5,9,2020
1239,5,9,2020
1240,5,9,2020
1241,5,9,2020
1242,5,9,2020
1243,5,9,2020
1244,5,9,2020
1245,5,9,2020
1246,5,9,2020
1247,5,9,2020
1248,5,9,2020
1249,5,9,2020
1250,5,9,2020
1251,5,9,2020
1252,5,9,2020
1253,5,9,2020
1254,5,9,2020
1255,5,9,2020
1256,5,9,2020
1257,5,9,2020
1258,5,9,2020
1259,5,9,2020
1260,5,9,2020
1261,5,9,2020
1262,5,9,2020
1263,5,9,2020
1264,5,9,2020
1265,5,9,2020
1266,5,9,2020
1267,5,9,2020
1268,5,9,2020
1269,5,9,2020
1270,5,9,2020
1271,5,9,2020
1272,5,9,2020
1273,5,9,2020
1274,5,9,2020
1275,5,9,2020
1276,5,9,2020
1277,5,9,2020
1278,5,9,2020
1279,5,9,2020
1280,5,9,2020
1281,5,9,2020
1282,5,9,2020
1283,5,9,2020
1284,5,9,2020
1285,5,9,2020
1286,5,9,2020
1287,5,9,2020
1288,5,9,2020
1289,5,9,2020
1290,5,9,2020
1291,5,9,2020
1292,5,9,2020
1293,5,9,2020
1294,5,9,2020
1295,5,9,2020
1296,5,9,2020
1297,5,9,2020
1298,5,9,2020
1299,5,9,2020
1300,5,9,2020
1301,5,9,2020
1302,14,12,2023
1303,14,12,2023
1304,14,12,2023
1305,14,12,2023
1306,14,12,2023
1307,14,12,2023
1308,14,12,2023
1309,14,12,2023
1310,14,12,2023
1311,14,12,2023
1312,14,12,2023
1313,14,12,2023
1314,14,12,2023
1315,14,12,2023
1316,14,12,2023
1317,14,12,2023
1318,14,12,2023
1319,14,12,2023
1320,14,12,2023
1321,14,12,2023
1322,14,12,2023
1323,14,12,2023
1324,14,12,2023
1325,14,12,2023
1326,14,12,2023
1327,14,12,2023
1328,14,12,2023
1329,14,12,2023
1330,14,12,2023
1331,14,12,2023
1332,14,12,2023
1333,14,12,2023
1334,14,12,2023
1335,14,12,2023
1336,14,12,2023
1337,14,12,2023
1338,14,12,2023
1339,14,12,2023
1340,14,12,2023
1341,14,12,2023
1342,14,12,2023
1343,14,12,2023
1344,14,12,2023
1345,14,12,2023
1346,14,12,2023
1347,14,12,2023
1348,14,12,2023
1349,14,12,2023
1350,14,12,2023
1351,14,12,2023
1352,14,12,2023
1353,14,12,2023
1354,14,12,2023
1355,14,12,2023
1356,14,12,2023
1357,14,12,2023
1358,14,12,2023
1359,14,12,2023
1360,14,12,2023
1361,14,12,2023
1362,14,12,2023
1363,14,12,2023
1364,14,12,2023
1365,14,12,2023
1366,14,12,2023
1367,14,12,2023
1368,14,12,2023
1369,14,12,2023
1370,14,12,2023
1371,14,12,2023
1372,14,12,2023
1373,14,12,2023
1374,14,12,2023
1375,14,12,2023
1376,14,12,2023
1377,14,12,2023
1378,14,12,2023
1379,14,12,2023
1380,14,12,2023
1381,14,12,2023
1382,14,12,2023
1383,14,12,2023
1384,14,12,2023
1385,14,12,2023
1386,14,12,2023
1387,14,12,2023
1388,14,12,2023
1389,14,12,2023
1390,14,12,2023
1391,14,12,2023
1392,14,12,2023
1393,14,12,2023
1394,14,12,2023
1395,14,12,2023
1396,14,12,2023
1397,14,12,2023
1398,14,12,2023
1399,14,12,2023
1400,14,12,2023
1401,14,12,2023
1402,14,12,2023
1403,14,12,2023
1404,14,12,2023
1405,14,12,2023
1406,14,12,2023
1407,14,12,2023
1408,14,12,2023
1409,14,12,2023
1410,14,12,2023
1411,14,12,2023
1412,14,12,2023
1413,14,12,2023
1414,14,12,2023
1415,14,12,2023
1416,14,12,2023
1417,14,12,2023
1418,14,12,2023
1419,14,12,2023
1420,14,12,2023
1421,14,12,2023
1422,14,12,2023
1423,14,12,2023
1424,14,12,2023
1425,14,12,2023
1426,14,12,2023
1427,14,12,2023
1428,14,12,2023
1429,14,12,2023
1430,14,12,2023
1431,14,12,2023
1432,14,12,2023
1433,14,12,2023
1434,14,12,2023
1435,14,12,2023
1436,14,12,2023
1437,14,12,2023
1438,14,12,2023
1439,14,12,2023
1440,14,12,2023
1441,14,12,2023
1442,14,12,2023
1443,14,12,2023
1444,14,12,2023
1445,14,12,2023
1446,14,12,2023
1447,14,12,2023
1448,14,12,2023
1449,14,12,2023
1450,14,12,2023
1451,14,12,2023
1452,14,12,2023
1453,14,12,2023
1454,14,12,2023
1455,14,12,2023
1456,14,12,2023
1457,14,12,2023
1458,14,12,2023
1459,14,12,2023
1460,14,12,2023
1461,14,12,2023
1462,14,12,2023
1463,14,12,2023
1464,14,12,2023
1465,14,12,2023
1466,14,12,2023
1467,14,12,2023
1468,14,12,2023
1469,14,12,2023
1470,14,12,2023
1471,14,12,2023
1472,14,12,2023
1473,14,12,2023
1474,14,12,2023
1475,14,12,2023
1476,14,12,2023
1477,14,12,2023
1478,14,12,2023
1479,14,12,2023
1480,14,12,2023
1481,14,12,2023
1482,14,12,2023
1483,14,12,2023
1484,14,12,2023
1485,14,12,2023
1486,14,12,2023
1487,14,12,2023
1488,14,12,2023
1489,14,12,2023
1490,14,12,2023
1491,14,12,2023
1492,14,12,2023
1493,14,12,2023
1494,14,12,2023
1495,14,12,2023
1496,14,12,2023
1497,14,12,2023
